neo4j_cypher_p_100,neo4j_gremlin_p_100,titan_bdb_untyped_p_100,titan_bdb_typed_p_100,neo4j_cypher_p_1K,neo4j_gremlin_p_1K,titan_bdb_untyped_p_1K,titan_bdb_typed_p_1K,neo4j_cypher_p_10K,neo4j_gremlin_p_10K,titan_bdb_untyped,titan_bdb_typed_p_10K
778305757,1017229,796032,459473,776192481,1395557,1221880,1201314,784732342,2859944,1186586,1204568
725581623,972543,617528,444041,745223721,1726778,1256251,1207952,979045269,8831934,3800119,3902435
721041195,879545,599364,445815,795077014,1176852,992848,909037,841848604,724996,547049,545450
724553374,1020504,829134,431471,781306542,2180810,1646944,1315883,780930256,433345,335190,349032
754530146,812529,853313,460954,807724114,677323,1170493,811353,865346567,407034,335949,421322
720862440,763069,1105233,599829,811183625,532068,996943,777111,823098715,561010,334912,383724
694166316,695281,964173,441470,862088337,1044749,1295221,1128403,838843311,407157,324205,388252
751237230,770493,984351,460972,827837557,759772,556097,819074,825242900,1038210,849957,928745
753208025,674802,1094544,440084,824796379,809452,717497,962254,823082743,578257,400575,434041
703505109,928399,1125283,612181,751517463,483079,745262,980933,820278313,715972,502867,534874
692594719,814384,779975,450397,785251343,1562490,1320102,1690188,852023794,1149066,881763,891109
718301495,540898,666708,476638,827001067,966468,794000,963916,1160389415,1355584,1464021,1055819
746249787,1139835,998140,906039,829204605,510650,773023,921489,818153764,515605,626272,446330
775870861,1199424,737406,810637,810838174,512746,778718,762340,839656186,321648,616072,385379
686579189,655213,442211,443109,822443521,792224,1134126,975117,877683676,3382736,4150367,3376644
717955302,932557,733846,761565,883258371,2898714,3718210,4489652,794694723,626856,633699,601016
731049289,463710,534573,460038,764370475,522487,556230,565300,763240528,305498,566678,397514
754853015,502570,585099,470875,758550185,903726,715247,723523,819794397,1747028,1807654,1691227
732962592,619656,519852,498946,734117473,865996,693532,702910,776785114,320086,514532,633597
712026774,539570,487761,521880,750673147,509710,519113,528943,796459677,620343,331898,504497
761106891,627670,485966,514563,830200975,6711040,7962473,8404137,825057965,1736701,1084629,1230903
768404882,1567886,1149357,1102241,818106585,902928,913599,682380,830119121,846069,608427,817279
695306244,658863,455133,452145,813360099,896220,543316,492549,837810236,332966,313406,424036
697309751,929672,463609,458356,846806909,25545777,39115629,31801369,832875952,571304,312601,391835
747943746,693092,437079,484070,805569677,1165127,1562923,1223281,859025008,669648,423026,484316
733607045,609272,450218,477983,798759872,2447326,5212919,5045705,795903453,549832,475190,384823
712500496,713199,428238,455252,747842621,868032,589212,1042006,820305189,297243,509369,370211
677491632,451962,434547,445195,739481883,728669,643143,1170383,862630973,547533,653482,468912
712726913,582772,470711,498493,798562381,621318,482761,904414,811340077,516344,708774,439309
725624922,647331,473934,494221,1434176258,479488,502545,927802,804134636,399817,650981,673030
757377338,841170,460337,515424,1371366042,938178,517396,954076,823025026,413749,509687,750360
713737548,390666,412116,459568,1529214344,2896095,1315855,2415419,765364697,456462,626076,805397
711043418,1210038,645066,690861,798155354,495458,476292,949500,806655584,688795,1019992,1441196
728087842,1124062,676983,657502,766900176,731142,788015,1240647,791586222,783399,1224901,1732175
750196598,438462,488736,452078,774237890,679917,847757,1070986,828335039,1297725,1758741,2046796
719792858,619066,450617,448230,770426693,723764,1060219,1040226,798464216,471706,495399,610102
715197689,496515,441360,440624,804181580,580371,970947,783447,856171436,722297,809238,1750852
744950323,704765,488564,506076,785637790,1495314,1649729,1466923,815366160,604332,538907,864294
746908634,1040141,974004,11350549,800468741,1065675,1968236,1868805,875378664,1760570,1133904,1223740
709317047,660632,567148,574287,832173744,636584,937217,925007,831544664,1018246,630852,662726
707077408,505890,521236,512792,823892041,493008,892264,1001149,838755364,677381,439562,489561
746519353,689259,539340,613382,764493885,3115007,2433451,2035496,831903143,1329131,613793,656447
739942741,1008267,696550,712024,771995692,824525,781926,825034,896188141,409746,403479,465874
712242109,616692,530347,538225,782675364,424275,508927,589463,853337728,482414,391071,431607
684000833,528330,500976,515503,893811696,3266062,3772597,4005856,852108058,1516756,897997,852190
737939171,1108811,642883,664185,820654490,1157130,738377,768729,844537850,626474,417144,435110
763022346,1551654,638747,654778,795051138,878705,684723,719928,813584426,305411,329375,379508
711647175,1113046,676654,656829,829527201,7015476,7001022,6967361,933473859,1687385,2050859,2012768
707359710,794811,785274,810294,753868276,1014490,949864,921501,781415823,408291,326996,451455
771517860,442616,495425,534202,748469382,1115877,624017,770650,795867736,359377,322511,399551
773364732,513325,512190,558060,775763544,1166000,485925,620657,793359457,483458,334603,347748
753234924,431055,488886,462316,782333299,802418,465038,613318,801748545,787010,606860,615189
705822198,696497,512887,459679,803480878,1634278,796795,1172714,849519119,563607,316536,372570
723174793,535679,428002,448928,822722293,769832,659420,721503,830638558,1599411,895655,1500388
784705205,652066,560791,578609,834999293,550981,457213,448573,825012697,388731,314852,704403
729036360,682628,499487,505966,842330966,6690384,2662043,2627156,816503628,424384,421377,567280
699710546,1236960,611526,618916,761836153,1557194,482020,471332,843861851,370655,322444,359072
724822477,975266,684948,610328,780556126,850288,617664,681039,828208948,357684,367124,376627
774444108,608733,438260,441412,767099394,6966297,421493,433226,821420523,346466,351997,367923
707646004,748244,502704,458403,832228866,829355,691172,645733,855979865,344006,392798,452950
712051725,1963605,948353,866732,799394418,790351,623376,596761,853765895,2319485,2506795,2561965
754963011,1995628,871551,808976,819035101,514430,443569,462101,837109301,463257,333896,458256
778328485,1500129,836152,1151135,812966319,766698,590361,602485,841414608,472406,485401,521546
718870699,1513951,866073,1228416,830329740,870181,734533,768892,806770839,580383,484982,536097
700307984,528676,605536,777403,789942687,1683292,1064458,1091541,789823461,597977,498818,535841
731213194,664193,523848,699621,760215806,881815,603507,859712,826982826,686874,411531,462894
741735983,521708,519791,705460,742218741,1665468,1036200,1053347,783935795,992268,508231,525987
720829300,788465,594788,852756,758751606,478599,439223,432033,852299441,382279,321227,353975
701588149,848571,808463,1013769,816533657,771274,609340,607901,842472452,630924,644808,669345
731517173,477303,652030,854745,779725025,558459,468478,462222,879473755,1671905,1244357,11044946
771114573,552679,655021,734883,873538016,529333,634989,556267,823439639,700132,600253,708484
725878874,1177361,844156,1337060,817894561,2363043,2543760,2581216,865269603,381081,400291,620786
