neo4j_cypher_p_100,neo4j_gremlin_p_100,titan_bdb_untyped_p_100,titan_bdb_typed_p_100,neo4j_cypher_p_1K,neo4j_cypher_10K
34982143,573807171,549163177,538233806,41349624,40267828
38495844,14325756878,15965887999,14692569369,40338348,45082690
35376198,89275346,86149474,82881953,43635760,49312297
39388988,46485822,38491361,43447173,50069793,36123876
40089565,525243181,513031869,492258000,36625633,43596178
36727997,875716319,903993476,887392142,42271529,42561993
38812567,30878527,26731639,26355217,37343472,44856472
36662977,1163712590,1167503852,1130146172,40881586,46562766
36439084,1560673092,1627141988,1616560592,37064039,38646081
40327107,61959947,55331964,48511276,51985889,41932710
37327711,34357074047,44256711652,42071841207,42054797,38276225
39766487,1478697144,1520145729,1551331775,37176132,41604644
40171282,448380209,406344624,405802669,47170502,44884391
39462070,1014925187,992367246,966299912,37446635,50439710
34242020,2062891055,2037577960,1976481417,49562998,43898937
37039848,1478552543,1709485922,1472692751,39156631,42514854
36411868,6499740116,8584371280,6161884729,43336324,43778571
43222053,185180711,173536760,171416515,41858791,37863794
38242789,121779703,126335987,115995129,37691757,45116134
36751086,49853960,38857863,38014653,43807729,39255544
38805455,12782756312,14184452163,13382757485,37222679,45201477
33850413,564348962,559197851,543198130,45850384,43117316
44048093,65323512,56727016,55189618,38593641,43553670
34748446,3480176216,3283340685,3174899099,55297013,42886967
36904259,2396190572,2502062824,2448915586,41686945,36799179
44366816,742629814,762073455,735261892,37507167,58833052
40459230,3439657046,3266751163,3156072300,42651821,36718061
42185338,1403472024,1391002918,1344415004,42339898,48359224
34322356,2048906085,1928645970,1889532870,43577689,43498851
40178187,31570964,27856120,27488653,38433046,43226911
40792580,30657104,28117523,35032344,49854559,44022216
36726409,6628088971,6874439671,6643663169,48744375,37737063
43257089,960759768,883581015,865638116,37164643,45788626
33918933,584490403,557063954,540356503,41064824,37410313
36701315,6710799677,6462347043,6397168621,38090931,42669590
39487123,769648384,686288209,668985873,43182607,44910050
36230363,3306682863,3378466910,3283719578,38139166,38746887
37283245,613736215,646588107,640470618,43966904,43852975
39260073,27969492,24389002,23769733,50590398,37242898
39651778,161125615,149146249,145070098,43403789,43233098
35922132,297095077,306560478,306330354,47086004,38484784
42063305,3104881470,2824810611,2911121466,44887142,45644453
33661770,96171156,102972673,91324428,50037101,48699380
35854239,14834071,12568506,12850313,35920258,36806783
35984746,355737355,349096945,349308841,43911671,43931088
40928181,1378745372,1379592607,1355164788,44816414,39805948
41523930,3353449435,3487756295,3471529590,47821498,41259097
36423733,57647296,47037281,48991900,40576561,41893293
42326755,789310038,789080130,821865125,38042409,37609375
34915986,270270384,248868968,258440830,50572092,44581086
43153642,777326057,776738194,793572997,43805779,35707887
33914948,317312637,283642453,270784559,36316493,43619786
40562775,5302548725,5071266572,5108874244,44467064,40726714
40090364,158915578,168629868,161771787,38654388,47785412
37826782,1322228177,1349143405,1322336409,39535566,49862111
38900479,60937927,62639662,61969173,37633294,38231498
35525534,623008639,609374225,597418196,42723951,45294912
36748256,3479018090,3417694585,3349546036,39700977,37399854
35260555,3352952777,3291105648,3153255220,52320314,46948517
36833782,1187423134,1171930554,1141665484,46811737,42512145
37832472,720745245,727395882,710648271,37558147,46160954
34790911,164519265,154714077,150433186,44674280,45108191
39334264,4284167235,4186303332,4152834286,40667777,38823088
36543138,38154626,31450480,30593850,42844392,48883723
36959575,222697452,248182324,239297678,40411467,42884982
35161465,30262261,30393203,29498807,42928892,41850093
44117596,573425971,577778557,564631471,45989237,39293841
41459240,2294139983,2273866501,2217144967,42522252,42570017
37862925,2695931858,2635363965,2596295302,47936445,53167044
39747996,1090861532,1054829925,1040502616,39648422,37588701
37971691,1390915437,1325952567,1329146576,46461230,44329761
37939172,4653750641,4150630385,4195012983,47575000,41822988
40601984,7051727600,6932550333,7084651936,36038819,45673808
36667129,718567886,702550742,735330650,44870501,42597766
36905600,4403522577,4316788724,4364339635,36278446,41644442
34691794,163305982,178649047,178619622,53283441,43392163
38507245,42730487,34971040,43422035,52321844,36846017
33933284,178194619,189700404,185118309,47847148,47161769
41391438,1392649256,1269056791,1256478856,39762616,54785930
39494986,6257227468,5978994700,5892245169,43032783,37816569
36190259,2105567838,2200990957,2135802104,49126266,45055759
39420967,5017368592,4816579908,4726626690,44460714,37910773
38143218,29115560239,34566181006,34644006462,39975900,44106421
36373873,476815028,485947797,469513018,45482866,38552845
35411434,1908289515,1892952907,1815564132,49989843,46795928
40489408,32952003,34258356,41401923,44568654,45614665
37378784,7688774611,7733571447,7662398785,36541171,39053765
