neo4j_cypher_nocache,neo4j_cypher,titan_bdb_untyped,titan_bdb_typed,titan_bdb_typed_nocache
27991136,25699392,313836,640822,341382
25604256,139390,158045,335787,164846
215112,142027,186077,389517,157678
218857,24068649,455631,569981,309688
31388990,33908191,233265,362360,154265
33851902,141937,174346,352962,181745
210858,28458275,305694,569390,402599
29730169,143204,217949,314259,178872
216549,24750054,308971,573818,337653
25024387,24840385,503227,645085,327261
25851486,25461034,265368,460713,325855
24420452,24849988,130070,238743,165487
25891095,24406480,267703,492779,380592
24898904,24710231,230828,504405,290934
26592746,139887,121211,258993,154085
215255,35591918,120853,247091,144291
29994731,29379021,252774,535380,329908
33031779,25017454,209089,407589,275203
29213282,23928781,237669,422749,289660
28434159,25775241,123874,205844,136872
25749296,23630106,211778,433228,269620
24539142,24959434,273391,489628,426893
27149519,42291522,214126,460386,264116
29145375,30505307,209586,532060,262807
24946958,24887251,124415,253497,147965
25241358,30388572,275704,529108,303165
24579793,135125,124789,252634,145885
234474,24617370,302099,535503,316866
27226658,25635768,409162,420567,291944
24736989,26699904,410673,527089,325557
25839006,36288091,401223,557618,301985
28056658,23342741,413802,575253,306446
26518094,24695776,436402,558672,322777
32412004,31885300,218237,286665,159679
24678058,24868597,425260,560682,342048
24887139,23056596,385296,504481,282956
24246651,24620785,141817,258104,155289
31283720,30476896,134337,262791,153716
27476420,23425263,136659,255071,147783
24223452,33940503,134372,251636,168421
25472644,23973741,125636,220474,145345
24076718,25729817,337051,531712,360937
29513172,29585536,304555,582129,327175
24205623,26211694,136700,298461,155237
34532808,26267812,392893,573915,372830
27679009,31483193,479944,499722,316581
25078001,23776756,434262,431000,299694
25378685,24208389,247116,259960,159328
32540201,199925,220911,280684,149920
216755,25153413,231334,232148,149595
25089319,134918,232877,279175,144716
247993,23349880,482795,604386,360245
24374889,24783979,453075,641580,325660
24982440,28169396,398438,472368,273025
28402861,25663207,315347,362049,241634
24553837,24263841,245575,216364,185128
25659280,23634818,423387,411496,304437
24010936,32975491,214864,201891,160754
26151494,24247601,209990,207717,150582
26904120,27750796,441927,552340,354513
28358701,27886868,373480,456779,286935
26931460,30391480,199127,240886,153241
24408964,27076654,401961,474496,322740
25329526,153676,202938,264314,154798
214729,31780339,368844,495722,314232
24982444,30054908,403670,485085,288624
25666566,25703280,200864,239677,152480
40986942,28759997,128245,214162,141699
24736673,29178671,240840,207510,169104
27470386,140281,132845,236074,145505
228744,23320033,249938,446400,347112
25139559,25148644,253406,454263,322793
25683197,151157,176997,242532,152735
219360,141269,220048,198972,142381
204965,25448368,372042,379177,281764
33961362,26703117,414080,9257030,363570
30231633,25735125,491854,548835,9556235
24094024,28689347,228205,226479,301644
25915429,26861438,418755,520693,596446
28451593,31081104,213596,232443,306299
24431467,23449943,368561,422567,542957
28272480,32960768,406504,437012,569688
27447841,30786408,223617,198425,266532
25533376,24702603,202991,186096,244203
26103751,28778678,443629,462410,568213
26110496,26633386,204483,187833,259711
31343175,25598943,394428,453854,770042
26195853,24432712,195888,210785,265408
25176146,25060623,358319,464570,510208
24492197,246661,200021,234496,243572
201942,31836476,355244,399375,517517
26821676,25047288,131423,187600,266475
24160133,36531845,134588,196649,238918
25014986,23738117,128503,175064,221966
28428694,31040610,128641,183643,219083
23121544,30729786,310255,458961,526942
24596836,25607395,127344,180888,214880
23027166,141798,152922,239347,225167
256459,24640221,275905,466046,423151
32137360,32760839,149067,218918,216577
23992587,144347,127898,210025,205952
202086,137567,126079,190757,204303
195895,28157668,131251,231110,206306
25063002,25036754,328189,522777,505436
26880461,25998886,129993,213525,204831
24311347,141008,123112,218661,201315
199479,25488903,236653,380885,335597
25569941,25574044,263239,505566,433505
25404907,30153943,122743,218029,201911
24922784,26546957,125458,225799,210506
25279843,28759877,125675,258767,215234
26806145,24285741,252622,508277,486291
26342841,32089995,230607,462969,385386
26578236,26916017,190125,387937,332534
24894640,157027,130538,229527,213052
204154,25489223,184592,401422,338675
26858524,24894943,121383,207420,207273
25774384,28061714,221847,464225,437734
26810170,27358080,121532,237660,214401
30319537,25751987,251868,495656,453145
25079728,24828285,219079,420338,375750
27524357,24929559,120861,220433,210097
24458608,37553941,122576,192843,225864
29568296,140230,125907,196278,237485
200526,26108429,255026,572983,536307
27802195,26044105,186563,442505,358279
25989214,28602439,217072,440904,373095
34276258,24801661,124066,237916,218972
24284026,33027102,248668,518458,476274
25147659,23917737,219939,392095,384431
30665355,24578710,258363,445914,456761
29362652,36394132,126758,241281,213903
25080809,33254519,291252,557743,445438
26575313,29390039,263648,482652,453262
30197831,24176956,285601,469704,479832
35314293,32783265,133807,232512,228484
25398062,24905788,134405,211681,225497
27526658,25879172,343872,451726,473515
26021967,24210556,160633,228394,219457
30339856,29709198,233255,375622,327224
25045983,26809834,215041,210367,198053
