neo4j_cypher_p_100,neo4j_gremlin_p_100,titan_bdb_untyped_p_100,titan_bdb_typed_p_100,neo4j_cypher_p_1K,neo4j_gremlin_p_1K,titan_bdb_untyped_p_1K,titan_bdb_typed_p_1K,neo4j_cypher_p_10K,neo4j_gremlin_p_10K,titan_bdb_untyped_p_10K,titan_bdb_typed_p_10K
26016495,186622,666630,489450,26931502,323650,493976,601606,27620894,279841,542727,540920
148034,191351,614356,464614,29751744,269838,472509,609558,29686673,361020,550513,569549
28961318,163351,605347,454748,38583111,191380,662613,868497,36210989,238599,585382,585762
30761452,189648,768509,553009,26774275,220505,835671,935874,28746678,244318,592038,568508
148612,171992,3009280,465191,27230862,294772,531972,643859,33618194,366863,593857,915960
26168933,187974,939913,476278,36226176,240866,585935,698270,37634326,203336,512960,720793
32137113,190034,828133,553228,26803062,182974,472854,580920,28463386,279796,534591,630692
27338076,172683,693475,495361,26386509,369863,718661,900052,28466399,491577,564997,682463
27523527,195677,792298,585723,28146701,236001,595261,777363,35613834,192738,721900,626255
34164701,189538,603903,555484,29932126,237520,703341,708407,38705248,211210,748163,564201
26655248,179500,583398,480250,26641608,350908,534573,692007,30204631,242725,589022,595042
30190191,190290,542411,579041,27557515,323151,494993,615375,28147743,209708,510407,542375
