neo4j_cypher,titan_bdb_untyped,titan_bdb_typed
84719776,28347899,16362080
45209953,2776426,1725990
51821439,2757232,2069305
75609689,9435459,13335748
56042079,5172671,10043580
48691625,2390967,2772870
76010954,25479045,14010501
48708919,2345365,2696785
57380519,2105136,2360988
48886053,1452674,1311343
50136335,3012924,2739246
50333449,2538275,2321690
52946323,2020300,1934130
43685421,1687004,1930544
51115488,1610019,1784275
47368873,1915393,1895169
54187922,2982466,22605879
46996408,978646,1706224
51982087,2900898,5117320
48037888,2002839,2272347
51043652,1690316,1864761
43165957,1875605,2084832
48422982,1750015,2755676
46625897,1273975,1445898
56889808,1322967,1660243
45528339,2142013,2318876
54711750,2919473,2718006
56455420,2523394,2696770
44313413,1780000,2424357
46431782,1813304,2274595
53311277,3774337,3841696
51193369,2008264,2279449
47833727,761751,1049143
49765252,2983751,3404478
54327268,2273116,2764160
47326797,1537704,1580475
52011020,1751354,2221698
46850142,1494902,1467268
44598736,1626414,1569902
52220576,4741573,5518405
44894367,1298599,1405058
57888993,7992194,8206649
52585436,4381669,5434580
47459377,1277021,1488295
55734932,1199337,1313243
54090142,1546956,1474212
45281255,761404,796313
51637189,5028864,5548553
43028474,2014924,2289249
52874040,1773330,1387538
49891373,3662045,3233746
47866165,1035131,12419644
49884266,1102027,1241967
47027779,1422463,1502915
50379405,3229306,3024921
52348156,2641149,2393473
43525261,1105319,1057508
49547404,1852250,1314644
58204406,5199512,4112851
57807739,2563916,2293757
57269264,3320754,2933943
51040831,1242715,1007606
51912905,473845,482186
48387638,912235,953618
44439679,2356898,1842633
45942488,581232,568775
52546381,1719876,1725471
47611897,13246847,1117437
50996045,3697476,3318016
48860025,2020249,1974516
56687717,4286508,3247129
64457909,4646693,4180700
45625740,644082,568738
54788910,715122,711209
59597018,7003539,6449648
48346932,1025049,966433
46687540,901169,803017
46318770,2046060,1674957
51207371,3822409,3139373
47722492,2062044,1847291
57988658,3899830,3877696
44329604,1696833,1474649
