neo4j_cypher_p_100,neo4j_gremlin_p_100,titan_bdb_untyped_p_100,titan_bdb_typed_p_100,neo4j_cypher_p_1k,neo4j_gremlin_p_1k,titan_bdb_untyped_p_1k,titan_bdb_typed_p_1k,neo4j_cypher_p_10k,neo4j_gremlin_p_10k,titan_bdb_untyped_p_10k,titan_bdb_typed_p_10k
1209081,404530,831939,793260,24384550,810202,501670,704840,21463972,589117,694431,703658
551553,381127,520234,468244,14859897,808030,702317,773288,15950667,1082602,1670940,1578023
870441,388341,753380,682061,28398422,1694905,1587873,1647327,21088737,1477818,1231486,1092722
20446984,387083,526096,542338,1639554,994002,843707,1017943,14144710,807754,505069,506938
1090222,434080,565885,545462,16689251,1198489,1527775,1691417,21400971,752170,450066,468975
1854246,425728,558740,553870,18934342,946228,692547,1163212,24436979,1542525,4254035,24297596
25970758,457339,793608,797865,19473896,1096245,1442512,1858356,14368945,740251,987642,1246357
20853183,433013,557610,524658,23768323,2287588,3362095,4035344,23305973,965485,805859,920454
1234945,425498,685164,646734,21986157,1255575,1288796,1488555,14938394,774654,801257,849592
1080103,386650,634405,618667,22393831,2393936,1525197,1726806,21727595,700433,37165863,898130
533559,359955,501710,485460,19614777,1701598,1953656,2125329,14496118,610109,1126222,839162
1792895,417710,836039,782446,25355404,969117,917315,1072949,20834321,482051,440770,435116
1566288,403139,887418,851539,16545698,1621249,686336,816021,31596301,548941,741631,738576
1253316,419383,818871,769227,21084049,932001,697078,780759,15068908,900596,1081052,982896
279853,323833,393577,395254,18203792,768266,403369,474231,22519972,656387,741794,813909
1310995,389660,816677,769555,23731717,2613020,3273974,3295229,15306758,802188,931382,1030907
1345390,379010,570554,545082,23299580,980227,511467,654170,22486008,1184204,1986262,1995516
649237,360931,514012,497702,16054575,1383728,1292719,1369874,28412861,1376386,1352333,1333760
19813859,353012,485488,480037,19219830,1105333,760838,780039,14529200,539581,537966,498611
3859435,555754,1190954,1130700,21360813,815067,445912,438587,35893111,1435689,1921465,1818902
18634137,349153,459219,461454,17944904,910088,884475,822686,16921524,1174836,1196897,1211002
683004,354097,468280,618871,20537040,833980,490418,520465,24343497,1774820,1238903,1275487
290375,334181,368234,619111,15200922,817738,737609,727283,21378347,797559,347154,353424
303221,335555,382300,600635,9342129,2039322,3001203,2825565,14024216,783104,393884,411724
21982400,431991,5773697,1619932,18135392,1123763,1275981,1165458,22576144,1469407,1552570,1588816
1055354,393964,1027730,1269405,21721493,941260,621155,644392,16107983,881318,820662,904476
675307,365816,606981,655479,15697216,885981,747255,720282,22581511,1044504,996933,1034403
227992,340872,370188,4165605,20349177,966590,787538,789346,14936870,1067242,1084569,1073527
1353230,426641,861440,948865,19546930,1342575,1880049,1734034,22874682,1317488,1315548,1328089
865277,386537,561023,527378,19684987,844310,924940,896500,26000889,1592516,2303382,2213965
584421,483250,592454,578271,24672614,978850,1339277,1336805,18000803,1776759,2026950,2135968
553377,404097,467480,576028,18424978,780146,1021215,1013318,20473331,1363539,1230359,1337430
1748712,669485,947176,1061983,21672897,948219,1441078,1406852,14893038,791389,849669,921897
853789,446928,562733,702098,16412160,718827,766650,734180,27292333,2356916,2061358,2134108
3059404,632433,1097170,1253890,20734238,892430,773429,706442,24119530,624522,492545,580431
1061483,426938,573394,691984,22938349,884264,724046,944269,21960171,1369321,4151799,4057688
3039614,510216,858256,1173836,17398773,678117,643952,690064,19849664,875786,772266,770472
1057785,388863,549562,702814,462492,548266,409029,584603,25777007,1401129,4165585,3907348
897754,422875,681421,748202,21012387,751738,469690,661410,14719360,1016742,1230436,1089875
