neo4j_cypher_p_100,neo4j_gremlin_p_100,titan_bdb_untyped_p_100,titan_bdb_typed_p_100,neo4j_cypher_p_1K,neo4j_gremlin_p_1K,titan_bdb_untyped_p_1K,titan_bdb_typed_p_1K,neo4j_cypher_p_10K,neo4j_gremlin_p_10K
11193349,11081151,65593950,65874545,66734133,77328777,464835236,461984250,1122517732,1393235489
13836378,11662380,73115729,67947178,59621198,79025456,461950957,454717646,1099239501,1385314390
8638865,11320986,65777447,69754515,58133667,76945680,468130603,455180549,1115545811,1377803178
8497483,11429561,74025313,70477906,59037156,79661962,462398989,458244948,1125631246,1368916133
8386904,12559027,65238746,65506571,57343649,80648460,464083221,473469606,1108969631,1375991362
9260767,11762675,68589246,66465723,57754733,77614331,471942655,455995664,1124541890,1364855032
11195569,11314343,70656741,73353709,59218699,77969916,459592671,475040682,1121113413,1394383458
8499160,11111400,64799056,69538105,58052828,76570692,465547341,464643514,1113921763,1390382699
8367953,12108838,68604429,72297764,59459472,80263798,470842882,457513965,1074906733,1445401072
8740354,12086805,65867847,67042784,62388146,77626611,465574891,464945559,1113368567,1367315183
8590335,14135286,65698320,69933883,58516732,77530050,459710897,466944761,1107677026,1358339781
12071286,11534475,68368578,68096642,59088476,76133102,468944248,472372655,1107614795,1406252237
13113244,12019237,65386013,66150725,58129496,80586553,475508059,452992028,1096888859,1388736040
8596922,11632313,69618160,69294681,56881295,76778462,459937361,455646406,1115101431,1382388243
8372603,11536479,65917044,67944801,63550266,76159910,466257276,461636498,1113794955,1499755382
8285359,12002127,64965772,68983182,62146616,75903019,472199752,455568287,1112012904,1392806837
8408238,11241367,69565392,69459274,60225943,77604286,458578785,452562023,1106988116,1376298638
8234277,11171511,69661649,70510457,59692215,80888803,479405038,459975879,1108495161,1371124677
10615049,11011570,68806100,69092803,61390396,77078020,465979867,460675438,1131529546,1387345881
8456315,11540294,69592692,65616339,58757984,75494916,472526636,464561730,1114990362,1372206553
8350427,11202736,69299859,66231849,57178897,76930906,465994419,457440973,1104941715,1429583890
8240289,12128680,74103157,69243146,59785512,80034688,467656121,476797716,1098828548,1387346217
14536443,12478114,64878159,65683434,58457865,76167968,467701232,462440620,1108087558,1376954724
8465250,11561741,74539113,67448091,59287551,75850744,459898624,459012386,1098030295,1395111690
8439054,11208062,64809729,65282038,74083845,77894787,465669514,476554050,1118611853,1380628366
11333555,11078231,65945306,65518270,58510403,76979851,482229162,458531014,1131469788,1391195618
8425681,12130102,69092278,67852950,56399569,79956537,459960086,469659974,1108053748,1394180256
8415669,12069031,69521036,64930099,64988820,77704109,461494148,483809281,1112592549,1373544496
8186012,11646852,73160514,70575948,61333132,76892314,463546141,468840494,1117761822,1364950996
8254866,11740217,66837817,67682001,58123235,77059973,463546262,465050044,1135070103,1365415741
8922695,11513268,70100456,65703390,59733679,80962456,459295454,470902564,1114454697,1368326895
10247798,11724085,69150778,77993987,59077171,77341669,468380872,454473164,1121010806,1396929798
9801803,12116943,69178722,64878534,58623141,76293298,465736189,470876085,1113515082,1454020750
10494530,11885129,68840188,65194650,60682570,76647969,465981908,460135508,1121445812,1428908753
8478795,11093944,65721953,70269891,60967203,82020037,469519876,458295435,1104065369,1390400567
8435194,11659423,70053363,65711774,58268486,76908015,467224802,475594616,1109873080,1372116951
8419473,12570407,69754755,68605908,58386700,76968752,469830650,459669061,1136544321,1403051202
10665051,11580604,65430355,65275998,64492026,77669542,464641943,464180267,1121312315,1389285217
9025501,13175728,69817405,65079685,58020102,75571100,472357826,454275769,1128097238,1365747066
9655754,11853716,65747137,73631990,75839118,81188917,465360559,488959058,1127945326,1396702965
8725550,11172502,64625647,65375033,63244195,76669822,476066394,463551656,1104342253,1403967709
8365556,11022479,68755537,68921049,55892731,75459035,459559699,459684942,1122443503,1385361557
8296133,11111660,65643368,65528174,59095143,76955212,472610388,468378715,1128050606,1404187285
10976830,12680977,70580543,71508831,56471993,79205759,463681887,457456283,1120675276,1382851971
9281092,12604579,65475803,67053999,57381180,77970460,458512741,460939451,1133859621,1363082458
11146713,11819685,65351920,65478503,63807477,75483502,478840885,471048327,1134028720,1385248914
8811722,11955994,69796003,68742227,61858067,75961147,473642392,451512694,1124318696,1380535001
11936115,11356268,64734495,64976773,58715851,79552619,470913777,460423058,1106730159,1382849708
8310473,11211718,68666139,65606795,55890622,76504350,465687420,464221677,1121343713,1401502708
10615503,11161299,65424769,68707419,71053840,76230492,481133984,457489419,1100373599,1390411762
8399753,11525853,64954466,64908912,57972205,76018992,469585529,460451017,1102297651,1435948888
8211105,10965056,69335801,68333993,65810232,75783726,480258430,468757838,1121889282,1398608396
8295459,11030321,65248057,65605968,60028803,79510885,466013850,472874147,1103299435,1403927796
8367167,13956475,69979632,64959936,57541380,76109700,464905093,459065919,1113148128,1373955778
8303632,11720399,65938258,68433180,58458992,76016906,463702820,466192211,1112119078,1368676408
12457813,11443762,65848244,65259010,61507326,76763442,472520886,475892020,1096989320,1365047846
8518972,11118663,69976964,71567579,62123309,79815971,477390787,456936331,1102432492,1367378239
8501707,13644836,66722716,65831011,65900624,75868686,465014449,451771452,1122150845,1363542297
8330499,12092820,70776707,64697280,56946365,76714664,474082684,484497643,1085515804,1360898878
8263764,11534123,65868237,70654022,63295541,75386299,478774733,461738282,1112178318,1374464629
8408165,11302831,71007242,64881519,57885156,76030047,462015163,461827792,1086559953,1359227467
12876328,11250446,70922492,67796565,58032672,81289862,463103044,456236198,1121117735,1364968115
8389883,11741531,65615662,65918200,57207653,78342916,467072797,469725488,1090566454,1378585953
8360310,11495989,71039541,65681925,57773762,81006291,463998544,468035487,1105328055,1375509902
8351969,11506636,65704574,68770834,59847094,78801052,475117704,454007891,1112763483,1377643328
11302510,11176184,65644102,66249702,60396188,80814789,458362557,469219330,1084991456,1370249073
10327748,16524330,71162382,69258691,57895441,76855117,466206119,457483931,1121624877,1381130052
9182342,14736272,65727979,64945529,56519542,79476350,471208582,461159475,1108763274,1372598935
10768942,11559265,71567714,67718785,59263590,76942978,481496698,451619914,1109632968,1380723183
8433291,11297044,65039845,69539925,61738757,83466645,471370734,459427604,1126892218,1391126556
8350523,12230213,66154543,65103163,65546518,77158414,468936957,460936659,1113238388,1372759779
8797449,11676180,70356459,72841706,57040708,81088738,466833998,464370533,1103835744,1399153249
9030731,11497742,65547578,65320490,66089215,80337522,461563055,452601659,1108640669,1370448737
8528693,11132557,70085918,65981870,58550629,75732377,474845325,463320686,1145289530,1380253742
10872221,11398433,66937865,73393656,76272746,84715073,483824876,464846870,1098599576,1381952162
8346801,12349490,65688273,66257634,62126465,75864815,459611403,453136808,1146273063,1358602307
8252757,12082706,73420891,71418831,58639652,76894411,465811443,468448164,1107982763,1373825474
9150347,11422364,66338934,68028149,57465510,79649818,486212273,469663735,1121652050,1356088713
8640733,11122241,69644436,65186807,58110474,81212757,468419705,474327395,1111644152,1360544007
8537023,12091891,65837984,75237632,56938493,79590461,466908117,454324980,1125525444,1388851296
10628680,11832319,65804482,67483974,57481048,76945537,471170729,461953082,1104563488,1369881147
8515600,11513722,68941501,69677743,56114543,79714949,484665367,457456668,1091445093,1368116106
8553397,11286489,65163585,70088272,56709971,76960620,465742051,457553545,1106332204,1370495947
8350619,11062563,70382202,65142560,62153175,105681807,472071689,452072365,1114515987,1364105368
8272573,11164152,68158170,73201508,56930622,75611615,483226087,460037198,1100810902,1373757213
8200392,11047024,69566426,68940541,57721536,78014049,458468933,476636900,1101406161,1392897550
10953635,11164799,73367669,69075455,66233553,75894254,485106249,467177229,1115007282,1365492419
8781804,11356466,65949779,67274004,58773296,90593535,477975350,452474456,1110120184,1369464625
9162994,11588560,71755460,67155162,60643711,76726739,471291592,464935489,1104100658,1361105067
8362630,11432202,69974440,72621106,58076091,75954728,465369271,460037753,1094820083,1370089381
8479403,11597158,66322700,65923987,59696762,76124914,481028458,455223860,1108029102,1371342202
8325786,11300961,77720513,77165289,58465263,79765868,463684941,462216335,1122530456,1389173154
11290320,11161391,65966282,65985990,59938733,76359933,457131210,470037522,1094204364,1389845558
8653229,11093780,65467915,66829449,70744547,76102318,479817079,482607176,1088111234,1375773615
