neo4j_cypher,titan_bdb_untyped,titan_bdb_typed
19819179,26473,30538
765250,648614,440112
949329,692434,487223
970010,730471,457908
882756,478130,461711
287220,134409,141909
1412126,553380,577442
466950,226221,199739
648704,409585,397338
904942,252078,249361
708854,307171,298057
21598280,719136,455853
639043,443517,375882
1521661,491998,567758
641788,382658,447978
2573861,712560,711858
846113,440590,446788
185228,41759,41216
1338871,457868,538283
184031,19547,30042
443489,213290,117287
324663,98834,92165
314360,101215,100939
580652,311741,160082
1617619,1277337,723797
555117,201661,127792
724563,654174,629092
731950,260421,296970
936092,645323,782700
488267,248931,317456
805656,667652,802242
693733,246292,311011
539445,316041,330112
17229545,405015,494235
18699694,134158,167517
702338,658457,745325
623453,324875,994404
614945,4524815,785065
801722,440325,912753
591601,278380,550821
140259,26793,59926
282259,133752,251807
1177109,610967,658591
2632340,673697,677751
644132,242851,303741
640589,169384,173181
852769,337371,354259
652499,401191,429228
998619,519920,621669
27301615,431482,484912
1052744,465656,545974
990333,419353,541058
431426,90039,108289
340401,105668,115228
1404461,426788,463877
2032168,667635,725415
1353587,554207,670838
457639,92136,127860
426278,141741,167162
661197,328786,435855
149149,17397,25073
638709,214811,273311
147520,22628,25318
655874,385994,430631
21115244,514250,583073
17184777,367900,433866
773146,364302,5171564
615586,311347,745149
595384,154864,318357
369984,80727,172408
3082813,786544,1754418
989714,345487,806446
1544857,528092,1164272
2620829,618338,1249013
803065,742508,804293
450373,276784,354011
1180927,655055,1031215
495595,126081,253656
377377,101596,198414
610119,356811,720838
1523944,567430,1083750
1034430,313726,678774
501526,149058,305522
926693,403282,843709
523861,124973,246181
305072,68510,138790
809349,266649,547542
350909,100959,229752
24642981,99350,241187
325723,97164,199586
621092,149811,277323
437901,96988,166497
384526,99670,181201
1305566,537490,787765
18548459,78597,90203
1038198,323796,338291
1242204,522188,515744
518619,153343,149477
16876073,136879,140596
21712857,414426,431941
4140925,944210,985209
793356,328422,335448
16918774,76081,73026
747227,325367,347463
1200672,497790,479504
621881,335697,322624
996183,498645,455122
1009779,823509,413293
7156347,676661,335666
707857,456708,213026
617441,345550,181962
1244634,883324,441902
444278,193327,97879
458983,289624,133671
175579,43654,16935
951423,755536,328604
538729,252849,132092
17304352,527789,387557
642571,395970,321997
584331,248918,160695
244865,111857,70011
643795,200310,146580
858397,476583,404436
157996,42181,19226
633961,297849,240930
996489,4544736,489443
1223313,635314,581387
1149432,687282,645165
305511,164680,147360
437709,118707,146782
956135,413429,615578
2775997,1449567,1673655
902763,715886,791071
