neo4j_cypher_p_100,neo4j_gremlin_p_100,titan_bdb_untyped_p_100,titan_bdb_typed_p_100,neo4j_cypher_p_1K,neo4j_gremlin_p_1K,titan_bdb_untyped_p_1K,titan_bdb_typed_p_1K,neo4j_cypher_p_10K,neo4j_gremlin_p_10K,titan_bdb_untyped_p_10K,titan_bdb_typed_p_10K
50267565,2216423,4448224,4490056,50026468,917425,2150791,1826643,65472930,3908983,14933966,12854702
48684238,1512503,2981826,3305280,50875335,955194,2176296,1670192,90050096,35175547,91814200,58565313
57337864,1829258,4494580,4341087,54668586,1730162,4397998,3798978,54159291,1971696,6894972,4034667
48860482,991058,2010348,1719110,47196131,398941,658832,582852,69821754,9365340,31449899,28081893
55696237,1552454,3485130,3189306,49111105,1870510,2707946,2224027,59493685,8064114,10244095,9226731
47954105,1384762,3080508,2725936,54121089,772660,822775,638644,52143534,1591092,1918178,1703529
59724053,3344141,8325492,7183999,42975659,1826916,2380409,3454064,62919313,3963786,8980535,8221833
47155613,1091325,2427620,1975803,54637246,1125634,1372356,1805261,57055933,3056765,6893325,24348216
49822512,1224380,3057265,2738974,49677566,1362989,1631703,1669911,66047304,10092662,34948510,31740080
46388656,940735,2277104,1585029,59882698,7492982,20241866,16763486,51575050,777172,1522670,1545010
49237154,1722064,3969756,3171775,47682563,1594461,2856889,3408585,52567197,1426832,3422351,3349886
51442154,1804608,2254167,1790814,55470715,6783941,6599461,19947030,74502643,14939253,66296314,40089852
54494037,1711991,3500871,3310532,64124004,1982164,2727007,2524931,76621671,13427467,40609189,34923211
44888044,1115422,2541826,1907756,51767336,2098194,2020927,1727562,72940839,8109115,15414871,13914184
42502251,844738,1317068,1112974,48797341,2803794,3281037,2863356,61926318,4744106,8391863,7442163
46343875,1067104,2279740,2695015,67436872,988673,893280,826277,68983115,6062744,17055759,28035269
68751861,16587189,12506290,10265122,56287657,878766,855997,840597,56768921,1979441,5142765,4096867
48199362,1520051,2745573,2393286,59216928,29115853,8460210,6856413,58521213,2993951,9539132,8402863
47509443,1527700,2969151,2697599,53406600,2905519,4002175,3724189,53348477,3615177,7010068,5945464
52378308,2459771,6456877,4552796,48720135,1492277,1810767,1692209,54493031,2471679,6253810,5848302
51411655,1371697,2498051,2045084,54897104,3057095,3999123,3807578,57629493,4036701,7329480,7220615
44881670,1576279,19180624,2513023,44551029,1532219,2570571,2272039,72886188,10470413,52258625,28399957
52488244,1247266,2088086,1699144,51203410,1244452,2461314,2101231,88906187,34267187,53870607,48565104
44375857,856314,1455348,1302230,57600229,2512157,8237986,8015139,44790729,803061,1878809,1699967
49374352,800585,1770406,3038108,68595905,6343471,14220611,11490629,51512273,419575,876803,778354
46564410,888526,1824490,12864068,59671382,3457479,21047708,6309218,69614692,6322100,14837514,12355562
50519674,2183390,3884610,3836519,68232348,1690019,2128969,1911583,51332484,891325,2295339,2162019
58943898,3585321,7007107,6032709,48513015,1149900,2260664,2092804,63283087,6434462,16723981,29689103
56458688,5406300,7770105,6873697,54287046,911309,2703800,2607501,63587308,16903844,29595804,27186595
55850322,1615854,3096261,2649248,62290511,1067903,2155096,1850060,64904390,14550973,44407605,25411676
86839553,8796961,16663910,15444316,47241408,1897742,4568709,5533379,64306487,1093893,2876502,2378369
55268561,2526340,5632685,15122248,49123587,1191640,2055681,3145172,63886925,11077421,23090741,20269141
41056049,861748,1731801,1651116,54962494,2601022,6903420,9415639,57519173,3822439,20978893,10588808
49091277,1985685,4496513,4876994,51879767,1879585,4182515,3896068,53412860,649942,2146783,1230021
44881622,937974,1021139,1128649,51505877,1779035,3336334,2795718,55623832,2157670,5184197,3868223
49927013,1473014,2173483,1986940,47300249,437644,925319,1031388,49154476,4397202,13782167,11956835
64490689,6391574,11782283,11162924,59613389,5226141,9291763,7729992,54434471,5744336,18937377,19803034
59046360,3375817,25260820,7522086,50150019,1410282,3155927,2750055,57799293,3360629,7908204,6149915
45100962,967672,1855185,1560518,57860857,792129,1618612,15974448,57363401,7824531,25428999,36220714
55169511,576733,1240488,1208062,43001816,908703,1781676,2516262,51155998,670701,1661710,1491354
49391573,1362785,2894202,2471639,47815001,720319,1575348,2491547,89258431,60354733,235716966,201796695
70212310,13160234,12856549,27204229,49269878,880843,3630217,3085836,57951984,7411693,20178071,30841730
49574252,899210,1203816,1066013,56024043,634956,1954062,1267234,51519602,1437817,2727385,2478040
